sentbert	34	53.9	-0.1934	('canada', 'home', 'hospital', 'lives tel', 'lives tel aviv', 'ottawa', 'aviv lives', 'aviv lives tel', 'tel aviv lives', 'canadian', 'hours', 'beds', 'toronto', 'monday', 'cent', 'health', 'seven', 'safe', 'lowest', 'remained')	('wanted', 'people', 'said', 'friends', 'young', 'looking', 'young men', 'guy', 'men', 'tried', 'funny', 'just', 'new people', 'like', 'want', 'jumped', 'man', 'male', 'talk', 'trump')	The woman remains in quarantine at her home.	attraction to men.
sentbert	35	59.6	0.6563	('better', 'negative', 'sooner', 'bad', 'likely', 'important', 'easier', 'good news', 'want', 'certainly', 'wrong', 'best', 'korea', 'monday', 'need', 'worse', 'good', 'israel', 'positive', 'problem')	('police', 'car', 'killed', 'shot', 'knife', '50', 'family', 'twitter', 'facebook', 'school', 'friends', 'officers', '33', 'carina', 'carina twitter', 'follow carina', 'follow carina twitter', 'people', 'office', 'twitter instagram')	It’s likely too late in North Korea, but we can hope that a stronger and sooner response will prove successful elsewhere.	Swords, they use to attack their opponents.
sentbert	36	62.4	0.6418	('want', 'trying', 'hard', 'conservative', 'people', 'best', 'important', 'tired', 'good', 'sure', 'candidates', 'doing', 'voters', 'said', 'friends', 'feel', 'political', 'win', 'vote', 'willing')	('post shared', 'pdt', '000', 'million', 'kilometres', 'canada', '2013', '2016', 'cent', '15', 'sgt', '2014', '2015', 'billion', 'roughly', '2017', '60', 'months', '12', '14')	Show interest in his hobbies, ask his opinion, and be proactive about making him feel not only noticed, but appreciated.	The federal government last summer announced up to $60 million in funding to connect Pikangikum to Ontario’s power grid.
sentbert	37	51.2	-0.1253	('woman', 'medical', 'nurses', 'said', 'feminist', 'women', 'carefully', 'smart', 'doctors', 'respect', 'doctors nurses', 'facts', 'hospital', 'military', 'doctor', 'mother', 'supportive', 'professor', 'intelligent', 'loyal')	('bus', 'roads', 'money', 'bike', 'transportation', 'drivers', 'transit', 'lion', 'road', 'allowed', 'buses', 'did respond', 'lions', 'transpo', 'driving', 'oc', 'oc transpo', 'riders', 'tourism', 'couldn')	I steadied my camera getting shots from atop a kitchen chair while her hands came down in a clap onto her ass again and again.	The vehicle hit the bike head on, and the riders were flung into the air.
sentbert	38	51	0.0636	('men', 'black', '40', 'gender', '20', 'cent', 'male', 'old', 'older', 'people', 'percent', 'male female', '25', '30', 'professors', 'younger', '40 cent', 'african americans', 'like', 'female')	('italy', 'said', 'italian', 'real estate', 'intercept', 'financial', 'china', 'bank', 'church', 'washington', 'told', 'iran', 'documents', 'investors', 'mother', 'north', 'catholic', 'government', 'filed', 'investigation')	Forty percent of the transgender community is underemployed.	He took his papal name in honour of St. Francis of Assisi.
sentbert	39	52.9	-0.3488	('fishing', 'restaurant', 'whale', 'lunch', 'whales', 'shark', 'pizza', 'porn', 'boat', 'fishermen', 'angeles', 'los angeles', 'seafood', 'died', 'killed', 'boats', 'video', 'fish', 'said', 'hawaii')	('isn', 'alberta', 'canada', 'said', 'russia', 'care', 'canadian', 'don', '12', 'like', 'dancing', 'isn just', 'won', 'just', 'girl', 'don let', 'canadians', 'russian', 'government', 'new')	Pruitt told the Dispatch News that his men and crews from other nearby vessels scanned the sea for the missing fisherman.	Girls twirl in lavender fields and have their whole lives ahead of them.
sentbert	40	56.2	0.3174	('true', 'love', 'good good', 'pretty', 'good', 'bad', 'wonderful', 'wrong', 'cent', 'fair fair', 'true true', 'yay', '10', 'awesome', 'percent', 'really', 'fair fair fair', 'right', 'quite', 'like')	('health', 'patient', 'police', 'medical', 'hospital', 'hospitals', 'public', 'city', 'house', 'government', 'state', 'abortion', 'company', 'medicine', 'said', 'clinical', 'school', 'home', 'university', 'officials')	Rarely has it backfired.	Airbus is now studying how the cabin would work and how the aircraft would be integrated into airports.
sentbert	41	53.8	0.1821	('said', 'dog', 'course course course', 'food', 'employee', 'dogs', 'told', 'lose', 'closed', 'store', 'grocery store', 'like', 'dragged', 'wasn', 'people', 'lawyer', 'closing', 'confidentiality', 'work', 'away')	('canada', 'canadians', 'canadian', 'quebec', 'conservative', 'liberals', 'liberal', 'university', 'canada said', 'ontario', 'said', 'quebecers', 'conservatives', 'beautiful', 'highest', 'positive', 'indigenous', 'celebrate', 'military', 'proud')	It’s kind of a race to the bottom.	For example, 93% of public faith proponents agree that religious and faith communities strengthen Canadian values such as equality and human rights.
sentbert	42	52.1	-0.1739	('gmail com', 'contact randalldenley1', 'contact randalldenley1 gmail', 'randalldenley1', 'randalldenley1 gmail', 'randalldenley1 gmail com', 'com contact', 'com contact randalldenley1', 'gmail com contact', 'email protected', 'com', 'post shared', 'gmail', 'email protected gmail', 'protected gmail', 'protected gmail com', 'pdt', 'email protected theintercept', 'protected theintercept', 'protected theintercept com')	('football', 'children', 'school', 'police', 'kids', '15', 'said', 'didn', 'parents', '000', 'year old', 'charges', 'money', 'kid', 'child', 'teens', 'criminal', 'boy', 'high school', 'need')	Authentic local seafood shacks: 3	“Diane: When they're transitioning, it's interesting, because first of all, they're experiencing the hormones of a 14-year-old boy.
sentbert	43	51.7	0.1721	('bloomberg', 'contributed report', 'did', 'schmidt', 'unclear', 'liberals', 'podcast listen', 'listen', 'lawyer', 'said', 'immediately clear', 'internet', 'asked', 'like', 'trump', 'comment', 'risk', 'bloomberg news', 'business podcast', 'listen business')	('year', 'school', 'year old', 'old son', 'years', 'grade', 'son', 'year old son', 'boys', 'children', 'old boy', 'year old boy', 'tuesday', 'boy', 'months', 'sky', 'high school', 'students', 'aquarius', 'sagittarius')	Allison Jean wondered whether race could have been a factor.	Woman B: Yes, we got engaged and have a 10-year-old boy and 18-month twins.
